"1725942291-96","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Denver-Aurora-Lakewood, CO","70.9%","79.5%"
"1725942291-97","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Des Moines-West Des Moines, IA","68.6%","76.3%"
"1725942291-98","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Detroit-Warren-Dearborn, MI","65.7%","74.1%"
"1725942291-99","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Dothan, AL","55.1%","59.2%"
"1725942291-100","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Dover, DE","57.3%","64.7%"
"1725942291-101","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Dubuque, IA","67.2%","72.1%"
"1725942291-102","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Duluth, MN-WI","68.7%","73.9%"
"1725942291-103","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Durham-Chapel Hill, NC","71.9%","77.7%"
"1725942291-104","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","East Stroudsburg, PA","54.2%","63.3%"
"1725942291-105","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Eau Claire, WI","66.3%","70.6%"
"1725942291-106","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","El Centro, CA","46.5%","54.9%"
"1725942291-107","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","El Paso, TX","42.9%","50.1%"
"1725942291-108","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Elizabethtown-Fort Knox, KY","55.1%","61.1%"
"1725942291-109","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Elkhart-Goshen, IN","47.8%","53.0%"
"1725942291-110","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Elmira, NY","54.1%","60.4%"
"1725942291-111","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Enid, OK","49.7%","51.1%"
"1725942291-112","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Erie, PA","58.8%","65.5%"
"1725942291-113","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Eugene-Springfield, OR","64.2%","73.4%"
"1725942291-114","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Evansville, IN-KY","55.8%","60.9%"
"1725942291-115","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fairbanks, AK","54.0%","63.0%"
"1725942291-116","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fargo, ND-MN","61.8%","65.1%"
"1725942291-117","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Farmington, NM","51.2%","59.2%"
"1725942291-118","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fayetteville, NC","51.5%","61.0%"
"1725942291-119","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fayetteville-Springdale-Rogers, AR","54.9%","60.8%"
"1725942291-120","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Flagstaff, AZ","54.3%","65.6%"
"1725942291-121","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Flint, MI","62.9%","71.3%"
"1725942291-122","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Florence, SC","56.5%","64.0%"
"1725942291-123","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Florence-Muscle Shoals, AL","55.3%","61.2%"
"1725942291-124","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fond du Lac, WI","65.3%","72.1%"
"1725942291-125","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fort Collins, CO","75.1%","81.3%"
"1725942291-126","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fort Smith, AR-OK","48.8%","52.4%"
"1725942291-127","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fort Wayne, IN","56.1%","62.9%"
"1725942291-128","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Fresno, CA","48.2%","59.3%"
"1725942291-129","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Gadsden, AL","55.5%","59.7%"
"1725942291-130","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Gainesville, FL","63.0%","67.5%"
"1725942291-131","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Gainesville, GA","57.3%","69.4%"
"1725942291-132","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Gettysburg, PA","60.2%","70.0%"
"1725942291-133","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Glens Falls, NY","54.0%","62.2%"
"1725942291-134","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Goldsboro, NC","57.2%","66.0%"
"1725942291-135","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Grand Forks, ND-MN","57.6%","59.3%"
"1725942291-136","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Grand Island, NE","56.9%","63.2%"
"1725942291-137","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Grand Junction, CO","68.0%","76.6%"
"1725942291-138","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Grand Rapids-Kentwood, MI","66.4%","75.3%"
"1725942291-139","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Grants Pass, OR","64.7%","74.6%"
"1725942291-140","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Great Falls, MT","54.8%","61.9%"
"1725942291-141","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Greeley, CO","67.5%","75.2%"
"1725942291-142","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Green Bay, WI","67.7%","74.0%"
"1725942291-143","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Greensboro-High Point, NC","65.3%","71.7%"
"1725942291-144","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Greenville, NC","59.5%","67.6%"
"1725942291-145","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Greenville-Anderson, SC","56.7%","64.9%"
"1725942291-146","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Gulfport-Biloxi, MS","45.0%","51.0%"
"1725942291-147","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hagerstown-Martinsburg, MD-WV","54.3%","57.8%"
"1725942291-148","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hammond, LA","54.2%","58.9%"
"1725942291-149","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hanford-Corcoran, CA","36.2%","46.9%"
"1725942291-150","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Harrisburg-Carlisle, PA","63.6%","70.8%"
"1725942291-151","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Harrisonburg, VA","55.9%","60.1%"
"1725942291-152","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hartford-East Hartford-Middletown, CT","63.8%","69.3%"
"1725942291-153","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hattiesburg, MS","53.4%","58.9%"
"1725942291-154","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hickory-Lenoir-Morganton, NC","59.2%","68.3%"
"1725942291-155","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hilton Head Island-Bluffton, SC","56.5%","68.0%"
"1725942291-156","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hinesville, GA","36.6%","48.3%"
"1725942291-157","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Homosassa Springs, FL","67.0%","73.6%"
"1725942291-158","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Hot Springs, AR","53.5%","57.1%"
"1725942291-159","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Houma-Thibodaux, LA","55.2%","59.5%"
"1725942291-160","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Houston-The Woodlands-Sugar Land, TX","51.0%","61.9%"
"1725942291-161","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Huntington-Ashland, WV-KY-OH","51.5%","57.6%"
"1725942291-162","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Huntsville, AL","59.0%","66.3%"
"1725942291-163","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Idaho Falls, ID","60.6%","67.7%"
"1725942291-164","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Indianapolis-Carmel-Anderson, IN","59.4%","64.6%"
"1725942291-165","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Iowa City, IA","70.4%","74.5%"
"1725942291-166","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Ithaca, NY","52.8%","55.0%"
"1725942291-167","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jackson, MI","56.7%","65.1%"
"1725942291-168","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jackson, MS","56.3%","60.6%"
"1725942291-169","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jackson, TN","51.4%","58.2%"
"1725942291-170","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jacksonville, FL","67.4%","74.1%"
"1725942291-171","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jacksonville, NC","39.3%","48.0%"
"1725942291-172","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Janesville-Beloit, WI","62.6%","70.1%"
"1725942291-173","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jefferson City, MO","60.8%","65.0%"
"1725942291-174","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Johnson City, TN","48.9%","56.7%"
"1725942291-175","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Johnstown, PA","58.5%","65.6%"
"1725942291-176","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Jonesboro, AR","45.8%","47.5%"
"1725942291-177","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Joplin, MO","57.9%","61.1%"
"1725942291-178","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kahului-Wailuku-Lahaina, HI","44.8%","60.9%"
"1725942291-179","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kalamazoo-Portage, MI","63.8%","72.7%"
"1725942291-180","https://election.lab.ufl.edu/voter-turnout-ratesamong-metropolitan-statistical-areas/","Kankakee, IL","56.8%","61.8%"
